ID,SENTENCE,judgement1,judgement2,judgement3,judgement4,judgement5,judgement6,judgement7,judgement8,judgement9,judgement10,judgement11,judgement12,judgement13,judgement14,judgement15,judgement16,judgement17,judgement18,judgement19,judgement20
951586555,"Amcast Industrial Corp. said it plans to repurchase 500,000 shares, or about 7 % of its shares outstanding, in open market transactions.",4,2,1,2,2,3,1,3,4,2,3,3,4,2,4,2,1,4,3,2
951587546,GDP is the total value of a nation's output of goods and services.,3,1,1,2,1,1,1,1,4,2,2,1,1,2,2,1,1,1,1,2
951587247,"Town & Country Ford in Charlotte, N.C., still needs to move about 850 1989 cars and trucks.",1,2,1,1,2,3,4,2,1,2,2,4,3,2,1,2,1,2,1,2
951586819,"A couple in Rockford, Ill., raised $ 12,591 earlier this year using the name and logo of Mothers Against Drunk Driving, without permission from the group.",1,2,3,2,2,3,3,5,4,5,2,1,4,6,3,3,1,2,2,4
951586503,Yesterday the company said it had filed a request with the Securities and Exchange Commission to withdraw the registration statement regarding the proposed swap.,3,5,5,3,1,3,5,6,5,1,2,2,2,5,2,5,2,4,1,4
951586615,"Instead, many small and medium-sized banks, and some larger ones, are likely to take one of the other two options open to them under the plan, Japanese banking officials said.",1,4,3,3,1,2,6,2,4,4,5,3,3,4,5,5,4,5,5,2
951587309,"Most of Kidder's program trading is for its own account, according to the New York Stock Exchange.",4,2,1,1,1,4,1,3,2,2,2,3,2,1,3,1,1,2,3,2
951586442,"One of the commission's recommendations was that a single agency, probably the Federal Reserve, should coordinate regulation of all financial markets.",2,5,1,6,2,3,5,3,3,2,3,5,1,5,4,6,2,2,5,2
951587391,"Ellen Cokely, a tourist from Alton, Ill., seems inclined to agree.",1,2,1,1,1,5,5,1,1,1,3,2,2,2,2,1,1,1,2,2
951586818,"Under the Racketeer Influenced and Corrupt Organizations law, or RICO, the government has the authority to seek to freeze or seize a defendant's assets before trial.",1,3,2,3,3,3,4,2,3,4,2,4,3,2,3,4,2,4,5,5
951586782,"Among the insider sales, Charles Raikes, the firm's general counsel, sold 12,281 shares in August, representing 46 % of his holdings in the company.",4,3,2,3,2,3,3,6,5,4,6,2,2,4,5,3,5,2,1,3
951586643,"Some of the projects being funded by the new issues are the first fruits of Mr. Gandhi's policy, and they require more capital than the smaller industrial units built in the past.",3,3,3,2,2,5,4,1,4,3,5,3,2,2,2,5,2,5,5,4
951586606,"If the Legislature doesn't repeal the law, due for revision in 1990, Mr. Jones says Humana may move its insurance operations, including 3,000 jobs in Louisville, to another state.",2,3,3,3,2,4,5,3,4,2,4,5,6,2,3,5,6,5,6,5
951587158,Southwestern Bell Corp. and Cincinnati Bell posted slight declines.,3,1,1,2,1,3,2,1,1,2,1,3,1,1,1,2,3,2,1,1
951586965,"Hani Zayadi was appointed president and chief executive officer of this financially troubled department store chain, effective Nov. 15, succeeding Frank Robertson, who is retiring early.",3,7,1,6,1,3,5,4,6,3,4,5,2,5,4,3,3,2,5,6
951587409,"Revenue rose 25 %, to $ 877.6 million, from $ 702.4 million.",4,1,2,1,2,2,2,3,3,2,6,2,1,3,4,4,1,2,1,4
951586663,"Investors, money managers and corporate officials had until today to comment on the proposals, and the issue has produced more mail than almost any other issue in memory, Mr. Lane said.",2,2,3,1,3,3,4,5,3,4,3,4,5,5,3,4,2,5,2,2
951587491,"But so far, the effort has failed, and traffic is still slow.",1,1,1,1,1,2,3,3,1,1,1,1,1,2,2,1,1,2,2,1
951587231,"Apple Computer, which reported lackluster earnings Friday, lost 1 1/4 to 46 3/4 on 1.1 million shares.",4,3,2,5,4,2,2,3,1,6,1,5,4,3,5,3,4,4,4,6
951586739,"We did experience some difficulties with the initial LBO terms and, as your article made clear, successfully restructured our debt earlier this year, something those other retailers have yet to accomplish.",2,4,1,3,3,5,5,3,1,4,4,2,4,3,5,2,3,3,2,5
951587551,The offer consists of $ 410.5 million in cash and the rest in notes.,3,1,2,1,2,1,1,2,1,5,1,5,1,2,1,4,2,2,2,3
951586752,"The transaction has had a series of setbacks since the financing problems became known last Friday, with no signs or statements from the buy-out group to indicate that any progress has taken place.",1,4,3,2,4,3,4,3,3,3,5,6,2,2,3,4,3,2,5,3
951587067,Source: Fulton Prebon (U.S.A.) Inc.,3,1,1,1,1,2,3,5,1,1,1,1,3,6,4,1,2,2,1,5
951587061,The shares are redeemable after the end of 1994.,3,1,1,1,1,1,2,1,1,6,2,2,1,1,1,1,1,1,1,1
951587157,Friday brings the final count on October auto sales.,1,1,2,1,1,1,2,1,1,4,1,1,2,2,1,1,2,3,1,4
951587556,The scope of the improvement in the U.S. business caught some analysts by surprise.,1,2,1,2,1,1,2,2,4,2,3,1,2,3,2,1,1,2,1,2
951587261,"The record price for a full membership on the exchange is $ 550,000, set Aug. 31, 1987.",3,4,5,1,3,2,4,2,3,2,1,2,2,4,3,2,4,2,3,2
951587437,"Out of the $ 2 charge, the law firm pockets about $ 1.55.",3,3,1,1,1,1,2,2,1,1,2,2,1,3,1,4,1,3,2,2
951586870,Pay raises of 60 % over the past three years have given many South Koreans the money to enjoy the things they were supplying the rest of the world.,1,4,2,5,1,2,1,3,3,6,1,6,5,2,2,5,3,4,5,2
951586829,"The No. 1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2 % to $ 219 million, or $ 2.46 a share.",6,4,2,6,2,2,2,3,2,7,1,5,6,3,2,6,2,5,5,2
951586738,"The results surpassed analysts' forecasts, which averaged around# 200 million, and Marks & Spencer responded in trading on London's Stock Exchange with an eight pence rise to 188 pence.",2,2,1,3,3,3,5,2,2,4,6,5,4,3,4,2,2,3,3,5
951586471,"The TVA, which operates one of the nation's largest electric power systems, is a corporation wholly owned by the U.S. government.",3,3,4,3,4,2,4,5,1,2,2,2,4,3,3,3,5,1,5,2
951587030,Drexel is owed $ 20 million by the partnership.,2,2,1,1,1,1,1,3,1,1,2,2,2,2,1,4,1,3,1,1
951586858,"Yesterday, the spokeswoman said sales of Delmed products through the exclusive arrangement with National Medical accounted for 87 % of Delmed's 1988 sales of $ 21.1 million.",2,1,3,3,2,6,5,1,4,3,5,5,5,3,4,3,5,6,3,7
951586417,"Orkem and Coates said last Wednesday that the two were considering a merger, through Orkem's British subsidiary, Orkem Coatings U.K. Ltd.",2,2,1,3,2,3,5,2,1,3,5,4,3,3,4,4,5,5,4,1
951587340,"Delta has benefited more than other carriers from the weakness of Eastern Airlines, which shares the Atlanta hub.",1,2,1,2,2,3,5,4,3,3,2,1,3,3,3,3,1,2,2,3
951587192,"Sales for the Deerfield, Ill., company rose 5.8 % to $ 1.81 billion from $ 1.71 billion.",4,2,3,4,2,2,2,2,2,3,2,5,3,3,1,3,1,2,1,4
951586397,"The Second Section index, which rose 15.72 points Thursday, was up 11.88 points, or 0.32 %, to close at 3717.46.",3,2,1,2,3,4,5,1,7,4,5,6,3,2,2,3,3,3,3,2
951586924,Lynch Corp. said its Lynch Telephone Corp. subsidiary completed the acquisition of Western New Mexico Telephone Co. for $ 20 million plus assumption of $ 24 million of debt.,4,5,5,6,7,5,4,2,4,5,6,6,5,6,3,3,5,5,5,5
951587361,"In American Stock Exchange composite trading yesterday, Westamerica closed at $ 22.25 a share, down 75 cents.",3,2,2,2,3,2,3,4,2,3,3,3,4,1,4,5,4,1,2,1
951586456,"In the first scenario, the reserves would be exhausted next year, and in the second they would be wiped out in 1991.",2,2,1,3,6,1,2,3,1,4,3,2,3,5,2,5,2,2,7,2
951586416,"Last month, for example, Mips agreed to supply its computers to Nixdorf Computer AG of West Germany and France's Groupe Bull.",2,1,1,5,2,2,2,3,1,5,2,3,1,3,4,5,2,2,4,4
951587375,"On the surface, the overall unemployment rate is expected to be little changed from September's 5.3 %.",1,2,1,3,1,3,2,2,3,4,1,1,4,3,2,3,1,4,3,1
951586744,"Thus, even investors who are pushing for the board to do a recapitalization that would pay shareholders a special dividend and possibly grant employees an ownership stake acknowledge that the unions are key.",2,4,3,4,4,4,5,4,5,4,6,6,2,4,7,6,6,4,5,7
951586985,Mission Resource Partners lost 5 1/4 to 14 1/8.,3,1,1,4,4,2,2,6,2,5,1,3,1,1,5,4,4,3,1,4
951586717,"Last month, Morgan Grenfell announced its pretax profit rose 49.6 % to# 32.8 million in the first half, boosted by a healthy growth in its domestic and international corporate finance business.",6,2,7,2,7,3,2,5,4,5,2,6,3,6,5,4,1,5,2,6
951586941,"He recently told a small group of American businessmen in Moscow that he hoped to sign a general trade agreement with the U.S., possibly at the 1990 summit.",1,5,2,5,1,3,1,3,2,5,1,6,5,2,1,5,3,4,4,2
951586732,"B.A.T said it may make more equity purchases until the close of business today, depending on market conditions, but will cease further purchases until Nov. 22, when it releases third-quarter results.",3,4,1,3,2,4,6,1,4,4,5,4,2,2,3,4,5,2,6,5
951586686,"To try to combat the traffic slowdown, airlines started reducing fares; average fares rose only 1.7 % in August, in contrast to increases of 16 % each in February and March.",6,3,1,3,3,4,5,1,3,5,5,3,3,3,3,3,6,3,5,5
951587166,The electronics industry is closely following the Dellums bill.,2,2,2,3,2,2,2,1,1,2,4,3,2,1,1,1,3,2,2,3
951587218,"Dow Jones industrials 2638.73, off 18.65; transportation 1254.27, off 49.96; utilities 214.54, off 0.19.",7,2,3,7,2,3,3,5,3,6,3,7,4,3,5,5,6,7,5,4
951586966,"C. Olivetti & Co., claiming it has won the race in Europe to introduce computers based on a powerful new microprocessor chip, unveiled its CP486 computer yesterday.",4,7,2,5,1,5,5,2,5,4,6,2,4,3,5,7,5,3,5,5
951587537,"Although working for U.S. intelligence, Mr. Noriega was hardly helping the U.S. exclusively.",1,2,1,2,2,3,2,3,5,2,1,2,1,3,2,2,2,6,3,6
951586961,The issue exploded this year after a Federal Bureau of Investigation operation led to charges of widespread trading abuses at the Chicago Board of Trade and Chicago Mercantile Exchange.,2,3,1,3,3,4,5,1,3,4,3,4,2,6,2,2,2,4,2,4
951587549,Valley National lost 1 3/8 to 17 1/8 on volume of 1.9 million shares.,2,1,2,2,4,3,1,3,2,6,2,3,2,3,1,5,2,3,4,2
951587405,"After the payment, the Cleveland company owes $ 57 million on the loan.",1,1,1,1,2,1,2,3,1,1,3,1,1,3,6,4,1,1,1,2
951587207,"Dow Jones industrials 2603.48, up 6.76; transportation 1191.86, up 1.43; utilities 216.74, up 0.88.",4,2,3,2,3,4,4,4,6,6,2,5,6,6,4,3,5,6,5,1
951587242,"A year earlier, the company had a deficit of $ 1.5 million, or six cents a share.",2,2,2,3,1,1,3,2,2,2,3,4,1,5,3,6,5,1,2,2
951586568,"In the midst of a labor shortage, he proposes linking city subsidies to businesses to their record of hiring New York City residents.",1,2,1,3,2,3,1,4,3,2,5,2,2,4,3,3,5,2,3,2
951586571,"John Nuveen & Co., initial offerings of the Nuveen California Performance Plus Municipal Fund Inc. and the Nuveen New York Performance Plus Municipal Fund Inc., via Alex. Brown & Sons Inc.",4,6,2,6,6,3,3,3,4,6,3,6,7,5,4,6,4,6,5,6
951587194,"In the first quarter of 1988, the company earned $ 10 million, or 94 cents a share.",3,1,3,1,3,1,2,2,2,1,2,2,4,2,2,1,3,3,1,2
